source,Target,weight
11481,11491,2
2051,2061,35
23131,23141,1
52189,52079,4
25109,25099,1
44579,44459,2
58079,58069,1
75039,75241,4
84221,84251,3
97141,97301,1
65069,67251,5
70119,70109,10
14141,14121,12
11261,11271,6
46669,46649,2
44131,44141,9
44249,44259,5
93189,92199,1
43029,43631,1
28441,28071,3
27341,27351,3
20029,20019,3
96241,96271,2
84629,84479,10
10519,10389,3
44491,44501,3
59069,59619,2
3371,3369,1
22051,22061,1
18181,18191,1
29031,20129,2
26039,26029,1
44499,45231,2
58409,58129,2
71179,70149,2
55249,55031,3
25169,25129,1
56251,56241,2
55159,55149,5
47579,46681,1
53099,53089,7
59079,59091,4
26289,26299,2
66471,64121,1
64021,67219,1
62141,62059,10
83062,83081,11
27131,27141,2
45229,45079,1
24341,24351,1
98149,98139,1
76401,76181,1
18201,18199,1
27381,27351,1
77369,77059,1
12111,12061,2
44241,44231,7
76211,76221,10
75101,75209,1
92079,92069,11
47571,47561,4
84511,72079,1
55229,55219,2
11359,11189,2
25161,25171,1
45101,45111,7
53339,53339,1
59079,59141,2
62071,62151,1
43749,43739,2
94069,94059,13
5029,5131,9
47651,47661,1
63139,63261,3
40311,40359,1
76431,76461,1
59059,59421,1
32109,34109,1
10321,10479,2
25479,25499,1
31201,31211,1
25509,25479,1
67021,67041,5
95071,95081,4
96251,96109,2
67159,67139,3
46521,46531,13
59131,59301,3
42141,52071,1
58111,58481,2
3059,3129,25
32061,32071,2
78159,78231,1
15161,15191,7
28641,28661,3
17009,17211,1
44021,44041,5
66381,66361,3
28571,28581,1
52409,52479,3
67641,67411,1
46261,46279,2
54571,54481,2
76271,76351,2
3011,2111,21
40069,40059,10
96251,96281,2
14049,14161,2
42209,42311,1
91091,81171,2
52291,52449,1
29099,29089,1
18129,16091,1
20241,21011,1
28321,28331,8
75169,75131,3
92231,92271,1
20291,20281,5
2181,2089,1
12131,12141,2
45131,46021,3
17139,17191,2
53091,56261,3
58199,58189,1
9213,40191,6
49039,49029,1
96221,96111,1
98121,98131,1
24441,24451,1
92169,92249,7
58119,58159,2
55199,55169,1
11099,11231,3
58249,58291,1
46691,46689,4
99009,99131,3
24259,24249,1
14119,14109,10
30039,30029,4
61009,61079,1
44131,44271,2
52489,52399,1
63349,63339,5
28309,20061,2
97069,97209,2
17121,17131,8
28151,28161,1
58029,58019,6
17289,17041,1
43199,42189,1
50229,50209,2
59759,59749,1
66101,64101,1
67711,67721,1
80299,60229,1
67529,67519,2
53421,53251,1
99039,99029,6
57051,57061,5
46659,47589,1
22491,22251,1
48109,48099,2
56261,54061,6
63101,62231,7
76359,76279,3
51051,51081,2
64009,64041,9
93061,93071,5
44321,44331,4
27351,27429,1
55371,55381,2
28361,28371,2
2111,2089,1
24529,24519,1
1549,83101,1
64029,64039,2
70141,71011,3
46961,46981,1
77019,77029,14
15131,18121,3
77311,77161,3
21139,21129,2
44289,44279,5
83381,83329,1
22519,22509,3
22529,22519,3
10219,10421,1
43209,43639,2
84151,93131,6
98019,76249,11
23069,23059,3
66149,66139,5
59391,59381,5
77269,77259,4
3341,3371,1
53231,53211,4
32069,32059,1
97009,96361,2
10161,10379,6
67141,67179,2
28239,28229,12
17359,17299,2
