ServiceNo	Direction	BusStopCode	Distance
100A	1	62129	0.6
100A	1	62119	0.9
100A	1	61049	1.2
100A	1	61039	1.6
100A	1	70069	2
100A	1	70059	2.7
100A	1	70049	2.9
100A	1	70039	3.3
100A	1	70029	3.6
100A	1	70019	4
100A	1	81099	4.4
100A	1	81089	4.7
101	1	66009	0
101	1	62131	0.5
101	1	62141	0.9
101	1	63011	1.4
101	1	63021	1.9
101	1	63031	2.5
101	1	63041	2.8
101	1	63051	3
101	1	63061	3.3
101	1	64011	3.5
101	1	64541	4.1
101	1	64551	4.4
101	1	64529	4.6
101	1	64339	4.9
101	1	64341	5.1
101	1	64351	5.4
101	1	64431	5.9
101	1	64441	6.2
101	1	64461	6.5
101	1	66499	6.8
101	1	66541	7.1
101	1	66551	7.3
101	1	66561	7.5
101	1	66569	8
101	1	66549	8.4
101	1	66491	8.6
101	1	64619	8.9
101	1	64561	9.2
101	1	64359	9.7
101	1	64349	10.1
101	1	64331	10.5
101	1	64521	10.8
101	1	64559	11
101	1	64549	11.2
101	1	64019	11.8
101	1	63069	12.1
101	1	63059	12.4
101	1	63049	12.8
101	1	63039	13.2
101	1	63029	13.7
101	1	63019	14.3
101	1	62149	14.6
101	1	62189	14.8
101	1	66009	15.5
102	1	64009	0
102	1	64041	0.7
102	1	64051	1.1
102	1	64061	1.6
102	1	64401	2.1
102	1	67739	2.4
102	1	67729	2.8
102	1	67719	3.2
102	1	67609	3.9
102	1	67619	4.3
102	1	67341	4.5
102	1	67199	4.8
102	1	67189	5
102	1	67409	5.3
102	1	67399	5.8
102	1	67389	6.1
102	1	67549	6.4
102	1	67559	7
102	1	67569	7.5
102	1	67579	7.7
102	1	68031	8.1
102	1	68051	8.4
102	1	68119	8.8
102	1	68059	9.1
102	1	68049	9.3
102	1	68039	9.5
102	1	67571	9.8
102	1	67561	10.1
102	1	67551	10.5
102	1	67541	11.2
102	1	67381	11.4
102	1	67391	11.7
102	1	67401	12.2
102	1	67181	12.6
102	1	67191	12.8
102	1	67349	13.1
102	1	67611	13.3
102	1	67601	13.8
102	1	67711	14.3
102	1	67721	14.7
102	1	67731	15.1
102	1	64409	15.6
102	1	64069	16
102	1	64059	16.4
102	1	64049	16.7
102	1	64009	17.4
103	1	66009	0
103	1	62131	0.5
103	1	62141	0.9
103	1	63141	1.3
103	1	63361	1.8
103	1	63181	2.2
103	1	63191	2.6
103	1	63201	2.8
103	1	63211	3.1
103	1	64101	3.6
103	1	64111	4
103	1	64121	4.4
103	1	67079	4.7
103	1	67069	5.1
103	1	67059	5.4
103	1	67049	5.8
103	1	67081	6.1
103	1	68011	6.4
103	1	68021	6.8
103	1	68031	7.2
103	1	68051	7.5
103	1	68111	7.9
103	1	68061	8.5
103	1	68091	9.1
103	1	68081	9.4
103	1	68101	9.9
103	1	68121	10.3
103	1	68161	10.8
103	1	68131	11.4
103	1	68141	11.9
103	1	68151	12.3
103	1	68171	14.1
103	1	59461	15.4
103	1	59459	16
103	1	59709	16.3
103	1	59349	16.6
103	1	59061	17.3
103	1	59671	17.5
103	1	59009	17.7
103	2	59009	0
103	2	59073	0.4
103	2	59069	0.6
103	2	59341	1.4
103	2	59701	1.7
103	2	59651	2
103	2	59451	2.3
103	2	59469	2.8
103	2	68179	4.1
103	2	68159	5.8
103	2	68149	6.4
103	2	68139	6.7
103	2	68169	7.4
103	2	68129	7.9
103	2	68109	8.3
103	2	68089	8.7
103	2	68099	9
103	2	68069	9.6
103	2	68119	10.2
103	2	68059	10.5
103	2	68049	10.7
103	2	68039	10.9
103	2	68029	11.3
103	2	68019	11.6
103	2	67089	11.8
103	2	67041	12.2
103	2	67051	12.5
103	2	67061	12.8
103	2	67071	13.3
103	2	64129	13.6
103	2	64119	14
103	2	64109	14.5
103	2	63219	14.9
103	2	63209	15.2
103	2	63199	15.6
103	2	63189	15.9
103	2	63179	16.1
103	2	63369	16.5
103	2	63149	16.7
103	2	62149	17.2
103	2	62189	17.4
103	2	66009	18.1
105	1	66009	0
105	1	66419	0.5
105	1	66409	0.9
105	1	66399	1.3
105	1	66029	1.7
105	1	66019	2.2
105	1	52069	2.7
105	1	52059	3
105	1	52361	3.6
105	1	52279	4.2
105	1	52239	4.8
105	1	52189	5.1
105	1	52079	6.2
105	1	51099	7.4
105	1	40249	8.3
105	1	40239	8.6
105	1	40229	9
105	1	40219	9.3
105	1	40209	9.7
105	1	40199	10.2
105	1	9219	10.9
105	1	9111	11.6
105	1	9121	11.9
105	1	9131	12.5
105	1	9141	12.8
105	1	13011	13.1
105	1	13021	13.7
105	1	11201	14
105	1	11211	14.3
105	1	11221	14.8
105	1	11089	15.1
105	1	11079	15.6
105	1	11069	15.9
105	1	11161	16.5
105	1	11171	17
105	1	11181	17.4
105	1	11191	17.9
105	1	19011	18.4
105	1	19021	18.8
105	1	19031	19.2
105	1	19041	19.6
105	1	17151	20.3
105	1	17161	20.6
105	1	17171	21
105	1	17181	21.3
105	1	20101	21.6
105	1	28011	22.2
105	1	28021	22.7
105	1	28031	23.2
105	1	28041	23.6
105	1	28659	24.2
105	1	28649	24.9
105	1	28639	25.2
105	1	28319	25.6
105	1	28449	25.9
105	1	28009	26.4
105	2	28009	0
105	2	28441	0.5
105	2	28311	0.9
105	2	28631	1.4
105	2	28641	1.7
105	2	28651	2.3
105	2	28049	2.9
105	2	28039	3.3
105	2	28029	3.6
105	2	28019	4.2
105	2	20109	4.8
105	2	17189	5.2
105	2	17179	5.5
105	2	17169	5.8
105	2	17159	6.2
105	2	19049	6.7
105	2	19039	7.2
105	2	19029	7.7
105	2	19019	8
105	2	11199	8.4
105	2	11189	8.9
105	2	11179	9.1
105	2	11169	9.7
105	2	11061	10.3
105	2	11071	10.7
105	2	11081	11
105	2	11229	11.5
105	2	11219	11.8
105	2	11209	12.2
105	2	13029	12.6
105	2	13019	13.3
105	2	9149	13.4
105	2	9159	14
105	2	9169	14.3
105	2	9179	14.6
105	2	9213	15.1
105	2	40191	15.9
105	2	40201	16.3
105	2	40211	16.7
105	2	40221	16.9
105	2	40231	17.3
105	2	51091	18.8
105	2	51101	19.2
105	2	52071	20
105	2	52181	20.6
105	2	52231	20.8
105	2	52271	21.4
105	2	52369	22
105	2	52051	22.8
105	2	52061	23.3
105	2	66011	23.9
105	2	66021	24.4
105	2	66391	24.8
105	2	66401	25
105	2	66411	25.4
105	2	66389	25.7
105	2	66009	25.8
105B	1	28009	0
105B	1	28441	0.5
105B	1	28311	0.9
105B	1	28631	1.4
105B	1	28641	1.7
105B	1	28651	2.3
105B	1	28049	2.9
105B	1	28039	3.3
105B	1	28029	3.6
105B	1	28019	4.2
105B	1	20109	4.8
105B	1	17189	5.2
105B	1	17179	5.5
106	1	43009	0
106	1	43179	0.6
106	1	43189	1
106	1	43619	1.4
106	1	43629	1.6
106	1	42319	2
106	1	28109	2.7
106	1	28189	3.1
106	1	28019	3.8
106	1	20109	4.4
106	1	17189	4.8
106	1	17179	5.1
106	1	17169	5.4
106	1	17159	5.8
106	1	19049	6.3
106	1	19039	6.8
106	1	19029	7.3
106	1	19019	7.6
106	1	11199	8
106	1	11189	8.5
106	1	11401	8.9
106	1	11239	10
106	1	11229	10.4
106	1	11219	10.7
106	1	11209	11.1
106	1	13029	11.5
106	1	13019	12.2
106	1	9149	12.3
106	1	9159	12.9
106	1	9169	13.2
106	1	9179	13.5
106	1	9048	14
106	1	9038	14.6
106	1	8138	15
106	1	8057	15.4
106	1	8069	15.9
106	1	4179	16.2
106	1	2049	16.6
106	1	2151	17.2
106	1	2161	17.9
106	1	2171	18.2
106	1	3509	19.1
106	1	3519	19.4
106	1	3539	20
106	1	3529	20.4
106	1	3129	21
106	1	3218	21.6
106	2	3239	0
106	2	3222	0.8
106	2	3111	1.5
106	2	3071	1.8
106	2	3381	2.4
106	2	3391	2.6
106	2	3511	3.3
106	2	3501	3.7
106	2	2051	4.4
106	2	2061	4.7
106	2	4111	5.4
106	2	4121	5.8
106	2	8041	6.1
106	2	8031	6.4
106	2	8111	6.9
106	2	8121	7.2
106	2	9059	7.5
106	2	9022	8
106	2	9111	8.5
106	2	9121	8.8
106	2	9131	9.4
106	2	9141	9.7
106	2	13011	10
106	2	13021	10.6
106	2	11201	10.9
106	2	11211	11.2
106	2	11221	11.7
106	2	11231	12.2
106	2	11419	12.9
106	2	11409	13.4
106	2	11181	13.7
106	2	11191	14.2
106	2	19011	14.7
106	2	19021	15.1
106	2	19031	15.5
106	2	19041	15.9
106	2	17151	16.6
106	2	17161	16.9
106	2	17171	17.3
106	2	17181	17.6
106	2	20101	17.9
106	2	28011	18.5
106	2	28181	19.3
106	2	28101	19.7
106	2	42311	20.4
106	2	43621	20.8
106	2	43611	21.1
106	2	43181	21.4
106	2	43171	21.8
106	2	43009	22.3
106A	1	43009	0
106A	1	43179	0.6
106A	1	43189	1
106A	1	43619	1.4
106A	1	43629	1.6
106A	1	42319	2
106A	1	28109	2.7
106A	1	28189	3.1
106A	1	28019	3.8
106A	1	20109	4.4
106A	1	17189	4.8
106A	1	17179	5.1
107	1	64009	0
107	1	64391	0.5
107	1	63351	0.8
107	1	63341	1.2
107	1	63059	1.7
107	1	63049	2.1
107	1	63039	2.5
107	1	63029	3
107	1	63019	3.6
107	1	62149	3.9
107	1	62139	4.3
107	1	62129	4.6
107	1	62119	4.9
107	1	61049	5.2
107	1	61039	5.6
107	1	61029	5.9
107	1	61019	6.2
107	1	60269	6.5
107	1	60209	6.6
107	1	60179	7.1
107	1	60221	7.7
107	1	60039	8
107	1	60029	8.5
107	1	60019	9
107	1	7369	9.3
107	1	7379	9.5
107	1	1319	9.8
107	1	1219	10.2
107	1	1239	10.5
107	1	1529	10.9
107	1	1519	11.1
107	1	1629	11.5
107	1	1619	11.9
107	1	2029	12.7
107	1	3019	13.3
107	1	3059	13.6
107	1	3129	14
107	1	3218	14.6
107	1	3239	14.8
107	2	3239	0
107	2	3222	0.8
107	2	3111	1.5
107	2	3031	2.1
107	2	3011	2.7
107	2	2111	3.3
107	2	1611	3.9
107	2	1621	4.1
107	2	1511	4.4
107	2	1521	4.7
107	2	1231	5.1
107	2	1211	5.4
107	2	1311	5.7
107	2	7371	6
107	2	60011	6.6
107	2	60021	7.2
107	2	60031	7.7
107	2	60229	8
107	2	60159	8.5
107	2	60161	9.6
107	2	60201	10.2
107	2	60261	10.4
107	2	61011	10.6
107	2	61021	10.9
107	2	61031	11.1
107	2	61041	11.4
107	2	62111	11.8
107	2	62121	12
107	2	62131	12.3
107	2	62141	12.7
107	2	63011	13.2
107	2	63021	13.7
107	2	63031	14.3
107	2	63041	14.6
107	2	63051	14.8
107	2	63349	15.3
107	2	63359	15.8
107	2	64399	16.1
107	2	64009	16.6
107M	1	64009	0
107M	1	64391	0.5
107M	1	63351	0.8
107M	1	63341	1.2
107M	1	63059	1.7
107M	1	63049	2.1
107M	1	63039	2.5
107M	1	63029	3
107M	1	63019	3.6
107M	1	62149	3.9
107M	1	62139	4.3
107M	1	62129	4.6
107M	1	62119	4.9
107M	1	61049	5.2
107M	1	61039	5.6
107M	1	61029	5.9
107M	1	61019	6.2
107M	1	60269	6.5
107M	1	60209	6.6
107M	1	60179	7.1
107M	1	60221	7.7
107M	1	60039	8
107M	1	60029	8.5
107M	1	60019	9
107M	1	7369	9.3
107M	1	7379	9.6
107M	1	1319	9.9
107M	1	1219	10.3
107M	1	1239	10.6
107M	1	1529	11
107M	1	1519	11.2
107M	1	1629	11.6
107M	1	1619	11.9
107M	1	2089	12.6
107M	1	2169	13.1
107M	1	2141	13.5
107M	1	1511	14
107M	1	1521	14.3
107M	1	1231	14.7
107M	1	1211	15
107M	1	1311	15.3
107M	1	7371	15.7
107M	1	60011	16.3
107M	1	60021	16.9
107M	1	60031	17.4
107M	1	60229	17.7
107M	1	60159	18.2
107M	1	60161	19.3
107M	1	60201	19.9
107M	1	60261	20.1
107M	1	61011	20.3
107M	1	61021	20.6
107M	1	61031	20.8
107M	1	61041	21.1
107M	1	62111	21.5
107M	1	62121	21.7
107M	1	62131	22
107M	1	62141	22.4
107M	1	63011	22.9
107M	1	63021	23.4
107M	1	63031	24
107M	1	63041	24.3
107M	1	63051	24.5
107M	1	63349	25
107M	1	63359	25.5
107M	1	64399	25.8
107M	1	64009	26.3
109	1	66009	0
109	1	66361	0.6
109	1	66041	1.1
109	1	66051	1.4
109	1	63361	1.8
109	1	63181	2.2
109	1	63191	2.6
109	1	63201	2.8
109	1	63211	3.1
109	1	64101	3.6
109	1	64491	4.2
109	1	64481	4.4
109	1	64471	4.7
109	1	64601	4.9
109	1	64611	5.2
109	1	64469	5.4
109	1	64629	5.8
109	1	67459	6
109	1	67469	6.3
109	1	67279	6.6
109	1	67449	7
109	1	67419	7.3
109	1	67599	7.6
109	1	65199	9.1
109	1	77339	13.1
109	1	77289	13.6
109	1	77239	13.9
109	1	77249	14.2
109	1	78049	14.5
109	1	77019	14.7
109	1	77029	15.1
109	1	77039	15.5
109	1	77049	15.9
109	1	77059	16.3
109	1	78069	16.6
109	1	78059	17
109	1	98111	17.5
109	1	98109	17.7
109	1	98031	18.1
109	1	98041	18.4
109	1	98231	18.7
109	1	98051	19
109	1	98061	19.6
109	1	98071	20
109	1	99011	20.4
109	1	99021	20.8
109	1	99031	21.1
109	1	99041	21.5
109	1	99139	21.8
109	1	99009	22.1
109	2	99009	0
109	2	99131	0.2
109	2	99049	0.5
109	2	99039	0.9
109	2	99029	1.2
109	2	99019	1.6
109	2	98079	2.2
109	2	98069	2.6
109	2	98059	3
109	2	98239	3.3
109	2	98049	3.6
109	2	98039	4
109	2	98101	4.5
109	2	98119	4.7
109	2	78051	5.2
109	2	78061	5.6
109	2	77051	6
109	2	77041	6.4
109	2	77031	6.8
109	2	77021	7.1
109	2	77011	7.5
109	2	77241	7.8
109	2	77231	8.1
109	2	77281	8.4
109	2	77331	8.8
109	2	65191	12.9
109	2	67591	14.2
109	2	67411	14.6
109	2	67441	14.9
109	2	67271	15.4
109	2	67461	15.7
109	2	67451	16.1
109	2	64621	16.3
109	2	64461	16.6
109	2	64619	16.9
109	2	64609	17.1
109	2	64479	17.4
109	2	64489	17.7
109	2	64499	18
109	2	64109	18.4
109	2	63219	18.8
109	2	63209	19.1
